#NAME	EI_01	EI_02	EI_03	EI_04	EI_05	EI_06	EI_07	EI_08	EI_09	EI_10	EI_11	EI_12	EI_13	EI_14	EI_15	EI_16	EI_17	EI_18	EI_19	EI_20	EI_21	EI_22	EI_23	EI_24
#CLASS:Condition	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected
#CLASS:Treatment	Sham	Sham	Sham	Sham	Sham	Sham	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Sham	Sham	Sham	Sham	Sham	Sham	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin
#CLASS:Sex	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male
ENSMUSG00000000441	15.47901019	13.83339544	21.5679442	13.60382413	9.668535264	15.44527608	9.635255797	10.40623502	9.994750066	11.27216078	11.95486559	8.901616383	10.3739008	9.823788843	12.49086158	9.761060125	13.05479434	11.65682595	9.757527517	9.401868023	11.11053318	9.529631868	8.937987202	8.439345743
ENSMUSG00000000532	5.138346	7.674517	7.132576	5.58435	4.763167	2.931593	0.856813	2.060891	3.407203	4.423292	4.347787	2.988552	2.573942	3.330879	1.911601	3.286135	4.425339	6.219751	3.443016	2.941139	4.648045	4.112645	4.875162	3.251299
ENSMUSG00000000538	4.490175	5.1333	6.5634	4.950763	5.084411	5.196782	1.091431	1.805001	3.959569	3.771615	4.809862	2.772882	3.512424	3.251052	2.653912	4.636176	5.243698	6.006642	3.934026	3.459872	4.411348	4.981186	4.70405	3.738947
ENSMUSG00000000552	20.068275	9.297225	13.540816	15.868817	9.824446	22.026716	4.953149	4.40309	7.352052	8.877817	9.2472	6.156264	5.128384	4.813337	5.422394	4.027448	10.395284	10.292553	6.732266	8.56334	7.07429	5.423863	6.869657	3.545396
ENSMUSG00000000555	6.318317	5.687055	6.019621	4.817909	6.919043	4.458406	1.615371	2.608358	4.892288	4.364117	5.659173	3.412841	4.111402	5.360423	2.722572	1.572473	4.757678	5.362009	4.700245	5.154072	6.299891	3.822882	3.91621	3.598368
ENSMUSG00000000561	3.508210086	3.922961387	10.24075897	5.54693512	4.41703272	7.576475893	1.706293322	5.381805583	3.699507606	2.486926755	6.278872155	4.856426013	4.846265371	2.691993749	3.359585499	5.3511233	3.68050412	3.938632972	4.285831872	4.844261492	2.963447543	3.49163752	5.107425601	4.364872745
ENSMUSG00000000563	218.859039	182.573914	139.504761	229.599411	220.597397	246.597198	337.915436	289.648041	138.715744	144.035675	165.862015	207.476852	147.064285	149.239502	191.636551	214.682632	149.433716	124.197426	136.966049	122.879723	129.333298	132.978073	162.203186	134.664001
ENSMUSG00000000567	0.352005	0.203957	7.689815	0.333757	1.014972	0.659614	0.255266	0.270944	0.959285	0.40541	0.729775	0.915735	0.667583	0.919083	0.34144	0.644946	1.259058	1.31119	0.469519	1.191123	2.140961	1.849018	1.002373	0.875956
ENSMUSG00000000568	11.30690018	9.14620567	18.17657471	11.82860783	8.035436381	6.272438758	2.454378512	4.605164027	6.014982491	4.160415209	7.193652975	5.473468658	6.300478425	7.422069152	4.636886865	5.217044488	6.739402973	7.302834945	6.466375091	5.90598805	8.323617763	4.698988674	5.715829116	6.605049754
ENSMUSG00000000579	4.587125	4.36319	6.81602	1.383849	2.323808	2.212476	8.354862	4.867743	1.488223	1.084379	1.643773	1.931506	1.580863	0.907913	1.10202	1.307706	0.75917	1.255975	1.255947	2.09926	1.199415	0.762632	0.776384	0.563883
